order_id,Delivery_Time,Delivery_Status
CA-2016-152156,3.0,On Time (<=3 days)
CA-2016-152156,3.0,On Time (<=3 days)
CA-2016-138688,0.0,Same/Next Day
US-2015-108966,0.0,Same/Next Day
US-2015-108966,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2014-115812,0.0,Same/Next Day
CA-2016-161389,5.0,Acceptable (4-5 days)
CA-2016-117590,2.0,On Time (<=3 days)
CA-2016-117590,2.0,On Time (<=3 days)
CA-2017-120999,0.0,Same/Next Day
CA-2016-118255,0.0,Same/Next Day
CA-2016-118255,0.0,Same/Next Day
CA-2014-106376,5.0,Acceptable (4-5 days)
CA-2014-106376,5.0,Acceptable (4-5 days)
CA-2016-119823,2.0,On Time (<=3 days)
US-2017-118038,2.0,On Time (<=3 days)
US-2017-118038,2.0,On Time (<=3 days)
US-2017-118038,2.0,On Time (<=3 days)
CA-2016-127208,0.0,Same/Next Day
CA-2016-127208,0.0,Same/Next Day
CA-2014-139451,0.0,Same/Next Day
CA-2014-139451,0.0,Same/Next Day
CA-2015-149734,5.0,Acceptable (4-5 days)
CA-2016-159695,5.0,Acceptable (4-5 days)
US-2017-109484,6.0,Delayed (6-7 days)
CA-2017-161018,2.0,On Time (<=3 days)
CA-2016-149223,5.0,Acceptable (4-5 days)
CA-2016-129903,3.0,On Time (<=3 days)
CA-2016-128867,7.0,Delayed (6-7 days)
CA-2016-128867,7.0,Delayed (6-7 days)
CA-2015-110457,4.0,Acceptable (4-5 days)
US-2015-136476,5.0,Acceptable (4-5 days)
CA-2016-103730,0.0,Same/Next Day
CA-2016-103730,0.0,Same/Next Day
CA-2016-103730,0.0,Same/Next Day
CA-2016-103730,0.0,Same/Next Day
CA-2016-103730,0.0,Same/Next Day
US-2017-107272,7.0,Delayed (6-7 days)
US-2017-107272,7.0,Delayed (6-7 days)
US-2016-125969,4.0,Acceptable (4-5 days)
US-2016-125969,4.0,Acceptable (4-5 days)
US-2017-164147,3.0,On Time (<=3 days)
US-2017-164147,3.0,On Time (<=3 days)
US-2017-164147,3.0,On Time (<=3 days)
CA-2016-110366,2.0,On Time (<=3 days)
CA-2015-110744,5.0,Acceptable (4-5 days)
CA-2016-114489,4.0,Acceptable (4-5 days)
CA-2016-114489,4.0,Acceptable (4-5 days)
CA-2016-114489,4.0,Acceptable (4-5 days)
CA-2016-114489,4.0,Acceptable (4-5 days)
CA-2014-104269,5.0,Acceptable (4-5 days)
CA-2016-162733,1.0,Same/Next Day
CA-2016-113817,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-139892,4.0,Acceptable (4-5 days)
CA-2014-118962,4.0,Acceptable (4-5 days)
CA-2014-118962,4.0,Acceptable (4-5 days)
CA-2014-118962,4.0,Acceptable (4-5 days)
CA-2014-166191,4.0,Acceptable (4-5 days)
CA-2014-166191,4.0,Acceptable (4-5 days)
CA-2015-102281,0.0,Same/Next Day
CA-2015-102281,0.0,Same/Next Day
CA-2015-102281,0.0,Same/Next Day
CA-2015-102281,0.0,Same/Next Day
CA-2015-102281,0.0,Same/Next Day
CA-2014-133690,2.0,On Time (<=3 days)
CA-2014-133690,2.0,On Time (<=3 days)
CA-2017-126382,4.0,Acceptable (4-5 days)
CA-2017-135860,6.0,Delayed (6-7 days)
CA-2017-135860,6.0,Delayed (6-7 days)
CA-2017-135860,6.0,Delayed (6-7 days)
