product_sk,Product_Name,Category,Sub_Category,Inventory_Turnover_Ratio,Days_Inventory_Outstanding,Sales,COGS,Quantity
1,Bush Somerset Collection Bookcase,Furniture,Bookcases,4.0,91.25,1132.98,679.788,10
2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,4.0,91.25,8148.93,4889.358,38
3,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,4.0,91.25,68.71,41.22599999999999,11
4,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,4.0,91.25,957.58,574.548,5
5,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,4.0,91.25,176.15,105.69,13
6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,4.0,91.25,111.68,67.008,16
7,Newell 322,Office Supplies,Art,4.0,91.25,15.290000000000001,9.174,9
8,Mitel 5320 IP Phone VoIP phone,Technology,Phones,4.0,91.25,1209.53,725.718,8
9,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,4.0,91.25,82.49,49.49399999999999,13
10,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,4.0,91.25,349.3,209.58,17
11,Chromcraft Rectangular Conference Tables,Furniture,Tables,4.0,91.25,2274.91,1364.946,12
12,Konftel 250 Conference phone - Charcoal black,Technology,Phones,4.0,91.25,1367.1299999999999,820.2779999999999,6
13,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,4.0,91.25,1257.93,754.758,9
14,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,4.0,91.25,1220.78,732.468,11
15,Newell 318,Office Supplies,Art,4.0,91.25,36.14,21.684,13
16,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,4.0,91.25,181.02,108.61200000000001,21
17,GE 30524EE4,Technology,Phones,4.0,91.25,3802.21,2281.326,23
18,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,4.0,91.25,190.92,114.55199999999999,5
19,Panasonic Kx-TS550,Technology,Phones,4.0,91.25,423.11,253.86599999999999,10
20,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,4.0,91.25,174.71999999999997,104.83199999999998,8
21,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,4.0,91.25,133.57,80.142,31
22,Advantus Push Pins,Office Supplies,Fasteners,4.0,91.25,19.62,11.772,9
23,AT&T CL83451 4-Handset Telephone,Technology,Phones,4.0,91.25,1359.53,815.718,7
24,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,4.0,91.25,1113.02,667.812,8
25,netTALK DUO VoIP Telephone Service,Technology,Phones,4.0,91.25,713.87,428.322,17
26,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,4.0,91.25,447.69,268.614,13
27,Economy Binders,Office Supplies,Binders,4.0,91.25,26.630000000000003,15.978000000000002,17
28,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,4.0,91.25,124.59,74.754,19
29,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,4.0,91.25,79.44999999999999,47.669999999999995,8
30,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,4.0,91.25,707.74,424.644,4
31,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,4.0,91.25,16.74,10.043999999999999,3
32,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,4.0,91.25,20.86,12.516,7
33,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,4.0,91.25,89.84,53.904,5
34,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,4.0,91.25,236.87,142.12199999999999,8
35,Eldon Portable Mobile Manager,Office Supplies,Storage,4.0,91.25,333.71000000000004,200.22600000000003,14
36,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,4.0,91.25,17.04,10.223999999999998,4
37,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,4.0,91.25,317.17,190.302,24
38,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,4.0,91.25,212.87,127.722,17
