product_sk,Product_Name,Category,Sub_Category,risk_level,days_until_stockout,current_stock,daily_sales_rate,total_quantity,days_on_market,first_sale,last_sale
31,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,High,0.0,0.0,3.0,3,1,2016-06-12,2016-06-12
62,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2016-11-07,2016-11-07
80,Decoflex Hanging Personal Folder File,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2017-11-06,2017-11-06
97,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Art,High,0.0,0.0,1.0,1,1,2015-08-09,2015-08-09
102,GBC Instant Index System for Binding Systems,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2017-04-07,2017-04-07
103,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2017-04-07,2017-04-07
109,PureGear Roll-On Screen Protector,Technology,Phones,High,0.0,0.0,2.0,2,1,2016-06-04,2016-06-04
111,Eldon 100 Class Desk Accessories,Furniture,Furnishings,High,0.0,0.0,3.0,3,1,2016-06-04,2016-06-04
123,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,High,0.0,0.0,2.0,2,1,2017-06-08,2017-06-08
127,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,High,0.0,0.0,3.0,3,1,2017-12-09,2017-12-09
129,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,Furniture,Furnishings,High,0.0,0.0,0.01,3,581,2015-05-04,2016-12-05
139,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,Machines,High,0.0,0.0,2.0,2,1,2014-11-04,2014-11-04
147,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,High,0.0,0.0,3.0,3,1,2017-07-08,2017-07-08
158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2017-03-08,2017-03-08
171,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,High,0.0,0.0,1.0,1,1,2017-12-08,2017-12-08
183,"Canon Color ImageCLASS MF8580Cdw Wireless Laser All-In-One Printer, Copier, Scanner",Technology,Machines,High,0.0,0.0,3.0,3,1,2016-06-12,2016-06-12
186,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2016-09-05,2016-09-05
194,Newell 342,Office Supplies,Art,High,0.0,0.0,3.0,3,1,2016-04-01,2016-04-01
204,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,Technology,Accessories,High,0.0,0.0,3.0,3,1,2014-10-06,2014-10-06
210,Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,High,0.0,0.0,2.0,2,1,2016-05-09,2016-05-09
245,Xerox 1972,Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2016-09-11,2016-09-11
247,Tennsco Regal Shelving Units,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2016-12-11,2016-12-11
250,Office Star - Mesh Screen back chair with Vinyl seat,Furniture,Chairs,High,0.0,0.0,3.0,3,1,2015-10-04,2015-10-04
256,Acme Tagit Stainless Steel Antibacterial Scissors,Office Supplies,Supplies,High,0.0,0.0,3.0,3,1,2017-06-08,2017-06-08
258,ClearOne Communications CHAT 70 OC Speaker Phone,Technology,Phones,High,0.0,0.0,3.0,3,1,2017-06-08,2017-06-08
272,SanDisk Cruzer 32 GB USB Flash Drive,Technology,Accessories,High,0.0,0.0,1.0,1,1,2014-09-12,2014-09-12
287,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders,High,0.0,0.0,2.0,2,1,2014-01-04,2014-01-04
296,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,High,0.0,0.0,3.0,3,1,2015-10-03,2015-10-03
306,"Adams Telephone Message Books, 5 1/4 x 11",Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2017-11-04,2017-11-04
326,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,High,0.0,0.0,2.0,2,1,2014-12-10,2014-12-10
350,Color-Coded Legal Exhibit Labels,Office Supplies,Labels,High,0.0,0.0,2.0,2,1,2017-04-09,2017-04-09
355,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2017-04-09,2017-04-09
400,Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,High,0.0,0.0,2.0,2,1,2017-06-04,2017-06-04
428,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Furnishings,High,0.0,0.0,2.0,2,1,2017-12-08,2017-12-08
429,Safco Industrial Wire Shelving System,Office Supplies,Storage,High,0.0,0.0,3.0,3,1,2017-12-08,2017-12-08
440,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,Art,High,0.0,0.0,0.09,3,33,2017-08-07,2017-09-09
