product_sk,last_movement_date,days_since_movement,is_slow_moving,Product_ID,Product_Name,Category,Sub_Category,Source_System
1,2017-05-01,224,True,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,Supply_Chain
2,2017-11-02,39,False,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,Supply_Chain
3,2016-09-02,465,True,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,Supply_Chain
4,2015-10-11,792,True,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Supply_Chain
5,2017-01-07,338,True,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,Supply_Chain
6,2017-12-05,6,False,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,Supply_Chain
7,2016-04-07,613,True,OFF-AR-10002833,Newell 322,Office Supplies,Art,Supply_Chain
8,2016-08-04,494,True,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,Supply_Chain
9,2017-05-04,221,True,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,Supply_Chain
10,2016-12-11,365,True,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,Supply_Chain
11,2016-09-02,465,True,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,Supply_Chain
12,2017-09-07,95,True,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,Supply_Chain
13,2017-07-01,163,True,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,Supply_Chain
14,2016-09-11,456,True,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,Supply_Chain
15,2017-11-02,39,False,OFF-AR-10000246,Newell 318,Office Supplies,Art,Supply_Chain
16,2017-09-02,100,True,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,Supply_Chain
17,2017-12-02,9,False,TEC-PH-10004977,GE 30524EE4,Technology,Phones,Supply_Chain
18,2016-12-08,368,True,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,Supply_Chain
19,2017-09-10,92,True,TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,Supply_Chain
